NN.layers,epochs,accuracy,precision,recall,split2.ratio.up
"c(40,6,2)",100,0.914712482,0.158033943,0.240765615,0
"c(40,6,2)",100,0.923927069,0.163270925,0.199126931,0.3
"c(40,6)",100,0.919284712,0.164045488,0.227669577,0.3
"c(40,10)",100,0.922720898,0.168759812,0.216588314,0.3
"c(60,20,10)",100,0.932664797,0.176428825,0.166890531,0.3
"c(60,20,10)",100,0.89654979,0.142787524,0.29516454,0
"c(40,10)",100,0.886297335,0.130102409,0.302887844,0
"c(40,6)",100,0.909284712,0.145757207,0.24110141,0
